2011/1/4,0d,0,2.3582
2011/1/4,1m,0.08,2.7332
2011/1/4,2m,0.17,2.9616
2011/1/4,3m,0.25,2.9634
2011/1/4,6m,0.5,3.0288
2011/1/4,9m,0.75,3.1433
2011/1/4,1y,1,3.2281
2011/1/4,2y,2,3.3398
2011/1/4,3y,3,3.3801
2011/1/4,4y,4,3.4158
2011/1/4,5y,5,3.5
2011/1/4,6y,6,3.6177
2011/1/4,7y,7,3.6783
2011/1/4,8y,8,3.7618
2011/1/4,9y,9,3.8131
2011/1/4,10y,10,3.8606
2011/1/4,15y,15,4.0733
2011/1/4,20y,20,4.176
2011/1/4,30y,30,4.2705
2011/1/4,40y,40,4.3378
2011/1/4,50y,50,4.4027
2011/1/5,0d,0,2.1074
2011/1/5,1m,0.08,2.4946
2011/1/5,2m,0.17,2.804
2011/1/5,3m,0.25,2.8693
2011/1/5,6m,0.5,2.925
2011/1/5,9m,0.75,2.9598
2011/1/5,1y,1,3.0283
2011/1/5,2y,2,3.2858
2011/1/5,3y,3,3.347
2011/1/5,4y,4,3.3669
2011/1/5,5y,5,3.4304
2011/1/5,6y,6,3.5729
2011/1/5,7y,7,3.6151
2011/1/5,8y,8,3.7023
2011/1/5,9y,9,3.7607
2011/1/5,10y,10,3.8132
2011/1/5,15y,15,4.0374
2011/1/5,20y,20,4.1521
2011/1/5,30y,30,4.2466
2011/1/5,40y,40,4.3139
2011/1/5,50y,50,4.3788
2011/1/6,0d,0,1.6078
2011/1/6,1m,0.08,2.329
2011/1/6,2m,0.17,2.8066
2011/1/6,3m,0.25,2.8426
2011/1/6,6m,0.5,2.8998
2011/1/6,9m,0.75,2.9361
2011/1/6,1y,1,2.994
2011/1/6,2y,2,3.2298
2011/1/6,3y,3,3.3275
2011/1/6,4y,4,3.3886
2011/1/6,5y,5,3.4402
2011/1/6,6y,6,3.5748
2011/1/6,7y,7,3.639
2011/1/6,8y,8,3.697
2011/1/6,9y,9,3.7641
2011/1/6,10y,10,3.8339
2011/1/6,15y,15,4.0457
2011/1/6,20y,20,4.1576
2011/1/6,30y,30,4.2521
2011/1/6,40y,40,4.3194
2011/1/6,50y,50,4.3843
2011/1/7,0d,0,1.5474
2011/1/7,1m,0.08,2.2992
2011/1/7,2m,0.17,2.7789
2011/1/7,3m,0.25,2.8012
2011/1/7,6m,0.5,2.8402
